aweme_id,comment_count,digg_count,download_count,share_count,duration,my_sent,hf_sent,dich_hf_sent,dich_my_sent
7256864674325515547,307,88562,579,1195,17734,0.5102040816326531,0.8492818949173908,1,1
7256678952608042267,689,240097,1665,1883,23766,0.74,0.6956619441509246,1,1
7256157540520693019,178,70150,303,351,10496,0.5102040816326531,0.6905915287076211,1,1
7256006611666226459,683,118713,1760,1108,19100,0.62,0.5526044750213623,1,1
7255952778311355674,219,36345,505,310,64534,0.6,0.7585552024841309,1,1
7255315606310898971,671,211476,2526,1480,8167,0.56,0.6217536211013794,1,1
7255249773395971355,1232,111330,1766,2794,40299,0.64,0.7190082550048829,1,1
7255242698087501082,7193,595319,10984,25701,10378,0.6666666666666666,0.7109130695462227,1,1
7254976016467201306,663,198550,1672,1287,8769,0.48,0.7473790180683136,1,0
7254669428091129114,1338,307040,4539,5040,25814,0.52,0.6830365622043609,1,1
7254545708919901467,9539,1274999,19789,42362,22600,0.54,0.6750348496437073,1,1
7254534182997675291,1601,527097,5387,15200,23083,0.4166666666666667,0.5720578742523988,1,0
7254518587103186203,1481,540929,3591,7388,7334,0.7346938775510204,0.7475697167065679,1,1
7254507731715951899,1716,528725,2719,3507,41259,0.6,0.658969691991806,1,1
7254496443665222939,673,189663,1294,1068,37734,0.66,0.7877281057834625,1,1
7254488978835983642,125,26821,414,252,4500,0.5454545454545454,0.7124592187729749,1,1
7254154522761760027,381,125949,942,575,10734,0.58,0.8128674745559692,1,1
7253459230580116763,739,189561,1940,1006,9567,0.64,0.6996098351478577,1,1
7253424454162844955,438,67757,1316,649,21524,0.62,0.8279177331924439,1,1
7253386386185686298,864,276497,1461,1997,8500,0.52,0.6672462594509124,1,1
7253359787088334106,682,139809,1222,1430,13120,0.7,0.7942988216876984,1,1
7253040655046413595,1129,188938,2985,5927,28609,0.64,0.731205542087555,1,1
7252740832720178459,657,198074,911,1357,39574,0.4375,0.6725396228333315,1,0
7252710579805162778,856,243098,1951,1489,5363,0.6382978723404256,0.7072832140516727,1,1
7251946749336620314,2140,322017,15231,7503,17112,0.5918367346938775,0.9094618047986712,1,1
7251660983284911386,1057,261314,1929,3016,45649,0.7446808510638298,0.5803373912547497,1,1
7251625376575655195,1856,394769,5428,3530,17967,0.74,0.7062370717525482,1,1
7251308971783490843,1663,302136,3629,3826,34731,0.64,0.6389138460159302,1,1
7251272980209224987,1778,257762,3025,4871,35051,0.6,0.6593852233886719,1,1
7036770104973020422,11744,258290,30,2084,62562,0.46,0.3715063011646271,0,0
7040151716473425157,10454,304307,58,3794,94199,0.3877551020408163,0.4312607950093794,0,0
7257591101685533979,261,1760,0,28,9134,0.42,0.3989651894569397,0,0
7257544867599928602,1503,7948,3,548,58334,0.42,0.4419615960121155,0,0
7257219933241625882,328,2065,0,34,9900,0.4489795918367347,0.4284458318535162,0,0
7257189048140270875,345,2867,2,85,9034,0.48,0.4454638409614563,0,0
7256848916484771098,408,3790,3,62,8367,0.24,0.2187064623832702,0,0
7256818360640408858,1511,9857,3,725,35234,0.4,0.2076693058013916,0,0
7256446910951656730,1164,10968,5,399,8134,0.5,0.5066468000411988,1,1
7256075916051303707,537,4831,0,69,9900,0.4,0.4553320515155792,0,0
7256075775269473562,1526,13981,3,490,12634,0.42,0.4325308036804199,0,0
7255735590413503771,506,4161,0,64,7334,0.5306122448979592,0.5320424802449285,1,1
7255705175967452443,368,3926,0,110,31967,0.36,0.3393554091453552,0,0
7255320422080613658,1132,10101,3,268,10267,0.44,0.4449325478076935,0,0
7255303322767281434,2845,56612,8,4226,135334,0.62,0.5938696134090423,1,1
7254993418126888219,327,3512,0,44,9900,0.46,0.6035754895210266,1,0
7254947081033452826,2609,29306,6,3138,121600,0.54,0.5697976374626159,1,1
7254591480508042522,273,2618,0,38,9900,0.32,0.6911352360248566,1,0
7254251339960569115,991,9745,3,276,7934,0.44,0.4410144472122192,0,0
7254220497406266650,2744,17838,8,2553,67834,0.3958333333333333,0.533488447467486,1,0
7253849330585472282,2227,18181,6,1094,7967,0.44,0.4650527858734131,0,0
7253509134232866075,339,4141,0,59,9900,0.32,0.4491552078723907,0,0
7253478257515842842,5202,42616,17,3980,8500,0.3469387755102041,0.3078966298881842,0,0
7253138082537491738,397,5616,0,67,66634,0.4791666666666667,0.5604205926259359,1,0
7253107138833190171,159,2448,0,22,9900,0.3265306122448979,0.5457287856510707,1,0
7252720573522971910,372,3903,0,75,15267,0.3,0.448542206287384,0,0
7252395842915798277,1309,8106,2,316,7967,0.6938775510204082,0.6042857267418686,1,1
7252365104459648262,3779,20112,13,5290,7083,0.6,0.5059778320789338,1,1
7252349530849561861,549,6697,1,315,55567,0.5306122448979592,0.5272863276150762,1,1
7252024744550075654,295,3070,0,67,9900,0.4285714285714285,0.5614900771452456,1,0
7251993857989168390,240,2630,0,26,10634,0.3061224489795918,0.4808279908433252,0,0
7251653909553351963,471,4074,0,27,8500,0.5102040816326531,0.557817699957867,1,1
7251623043166915866,562,6912,2,486,37800,0.4489795918367347,0.5790371505581603,1,0
7251282623987797274,377,3848,0,40,9900,0.3541666666666667,0.3481717444956302,0,0
7251220785241607450,224,2320,0,9,30034,0.38,0.5126233685016632,1,0
7243870995138776347,764,887987,1573,3306,16017,0.4893617021276595,0.7997509456695394,1,0
7257575581535980827,438,17789,19,239,48334,0.56,0.7808600497245789,1,1
7255351927964241178,443,21593,330,509,71417,0.68,0.7729954540729522,1,1
7254973683767332123,710,158490,537,1820,9744,0.66,0.6752690649032593,1,1
7254248673641565467,290,22738,343,544,26600,0.54,0.692986730337143,1,1
7253497774707150106,1211,198212,266,2043,61867,0.5,0.7297161519527435,1,1
7253141610156870938,217,14440,211,224,14800,0.5833333333333334,0.8265292942523956,1,1
7252764739934129434,869,29136,271,468,53067,0.74,0.8827801096439362,1,1
7251649208405511451,296,17667,152,257,41800,0.5510204081632653,0.748281717300415,1,1
7250896567538830619,395,45715,390,864,20417,0.6285714285714286,0.7046476193836757,1,1
7250541946832178459,946,138976,314,1410,59334,0.72,0.7355866706371308,1,1
7250157660396424474,342,39698,314,645,47923,0.5306122448979592,0.6384376494251952,1,1
7249429419520036122,1437,72064,1289,4624,42709,0.66,0.7716179430484772,1,1
7248677135089519899,482,32555,347,311,4434,0.66,0.6865245461463928,1,1
7247935978428534043,483,41038,769,913,41534,0.72,0.7666385185718536,1,1
7247595445109689626,388,28423,319,1096,124880,0.7708333333333334,0.8196504501005014,1,1
7246836551248776475,4129,153263,499,10054,89326,0.6122448979591837,0.8234302875946979,1,1
7246452256348949786,216,19902,90,266,25100,0.56,0.5954210221767425,1,1
7246073576174947611,308,65776,232,452,31584,0.5918367346938775,0.723582537806764,1,1
7244589328104508698,499,36764,788,955,43750,0.76,0.7547423267364501,1,1
7244237277340224795,579,99038,539,729,12711,0.52,0.6637404847145081,1,1
7243476130584481050,540,104126,468,736,22560,0.4081632653061224,0.5242498894127048,1,0
7242731303068568859,519,57735,617,712,43861,0.6326530612244898,0.7733527154338603,1,1
7242022322259938587,671,31674,555,551,44024,0.5510204081632653,0.8232033909583578,1,1
7241620131737013531,1175,33469,251,557,89210,0.5510204081632653,0.7405184933117458,1,1
7241264807872154907,487,41220,547,541,26609,0.54,0.8435258615016937,1,1
7240910953955593498,462,24140,312,334,59094,0.6666666666666666,0.7823995078603426,1,1
7239763058573331738,1055,64766,354,1534,15000,0.26,0.5393532025814056,1,0
7231244583743556890,2534,108980,243,6835,87334,0.4791666666666667,0.6582543005545934,1,0
7214162068616908038,1296,122129,935,1364,26400,0.4693877551020408,0.5729525283891328,1,0
7213083356760771846,509,27933,242,318,68893,0.4666666666666667,0.8092420511775547,1,0
7212650462074457349,241,31270,180,431,16584,0.5777777777777777,0.7089174694485134,1,1
7215654778020433158,39,2972,30,35,58034,0.5384615384615384,0.2542870319806612,0,1
7074229998571326726,392,18566,417,180,40609,0.8421052631578947,0.7707954456931666,1,1
7257226846985604378,57,1624,56,14,15022,0.75,0.6327543333172798,1,1
7256092512543165723,98,5372,495,172,15000,0.8275862068965517,0.9147333297236212,1,1
7255708223267786011,60,2732,37,21,8767,0.6,0.6997781078020732,1,1
7254608571113999642,49,1153,51,14,40034,0.4,0.2252280294895172,0,0
7254607245344886042,49,1907,58,15,14488,0.5,0.6025200068950654,1,1
7254236732718206235,72,3011,155,38,15000,0.625,0.7178251991669337,1,1
7253497112225123611,63,5030,238,88,15000,0.7333333333333333,0.6955706795056661,1,1
7251999097954045211,34,1918,38,8,12200,0.75,0.7526883035898209,1,1
7251642076331379995,38,1762,46,12,14800,1.0,0.5060744881629944,1,1
7250519554663664922,53,2877,101,26,15046,0.6363636363636364,0.7183090014891191,1,1
7250156453745511707,64,5869,120,50,11800,0.6875,0.7143837921321392,1,1
7249403585165856026,94,5447,202,100,15000,0.6774193548387096,0.7020830492819509,1,1
7247919140944547098,53,2710,135,44,33034,0.75,0.6952512015899023,1,1
7247532790089010458,79,7409,211,86,12840,0.782608695652174,0.7698033866675004,1,1
7246828283990527259,56,3157,200,42,12050,0.5384615384615384,0.8036634005033053,1,1
7246082649532534043,55,3216,124,49,15000,0.7272727272727273,0.5305238257754933,1,1
7245330246377934107,105,9272,282,128,15000,0.7419354838709677,0.8446257210546925,1,1
7244576248805051674,82,3395,93,33,10007,0.8181818181818182,0.8358603309501301,1,1
7243465804140858651,86,6272,267,85,15000,0.7307692307692307,0.8136928035662725,1,1
7243117321617673499,132,7820,373,114,13211,0.813953488372093,0.818799358467723,1,1
7242349792645369114,103,4447,256,86,13067,0.6956521739130435,0.6993753728659257,1,1
7241988899130690842,133,11174,426,191,26516,0.6956521739130435,0.7752809382003286,1,1
7241981343356292379,42,3528,53,17,20588,0.8571428571428571,0.5348464591162545,1,1
7241233500337114395,82,25069,316,201,8219,0.7,0.7915219306945801,1,1
7240859453480783130,50,4123,80,36,15000,0.8333333333333334,0.6895199169715246,1,1
7240522728422346010,131,10068,298,100,33400,0.8076923076923077,0.7626878665043757,1,1
7240522326297595163,65,5518,192,63,15022,0.8333333333333334,0.7075057725111643,1,1
7239758230149156123,334,33698,1349,684,15234,0.8979591836734694,0.8570107683843496,1,1
7239384532955303194,188,13190,423,145,34634,0.8,0.7665201961994171,1,1
7239381264745188635,70,4577,260,59,14734,0.7083333333333334,0.7082238445679346,1,1
7252754864818654510,12557,241542,7218,5870,64434,0.68,0.857687052488327,1,1
7250879884418075950,14931,950053,6888,6072,8309,0.7346938775510204,0.8357240338714755,1,1
7250879391998168362,6766,543429,11601,5882,11121,0.6458333333333334,0.851317260414362,1,1
7250532701940419886,11961,1141788,7471,10077,34550,0.7142857142857143,0.8291592451990867,1,1
7249875123694472491,4964,182298,1578,1888,41322,0.7959183673469388,0.9338972763139376,1,1
7249418838914370862,9061,964604,15443,13376,5967,0.52,0.6452352344989777,1,1
7249383860360777003,5658,591611,6818,4815,15022,0.8,0.8479991865158081,1,1
7248820792895622442,4344,320851,665,1634,3482,0.44,0.6092462241649628,1,0
7248801656836623662,22338,1810582,1681,7124,9333,0.4,0.4799152410030365,0,0
7247707621476584747,14466,1536225,28927,20099,15022,0.6938775510204082,0.8580532609199991,1,1
7247123546416205098,4769,287647,3188,2801,73500,0.6938775510204082,0.8770701897387602,1,1
7246988044522474798,2750,508288,8828,4453,14186,0.8125,0.8692108492056528,1,1
7246987573464157483,1533,182381,1876,1060,7940,0.5102040816326531,0.6618746981328848,1,1
7246986744069885226,2161,261185,3402,1918,11005,0.673469387755102,0.8348632004796243,1,1
7246952154664193326,1495,214863,890,1355,138760,0.5833333333333334,0.8307968253890673,1,1
7245538413221530926,6228,486431,9139,5061,6733,0.6122448979591837,0.6825582883795913,1,1
7244026760545750318,11475,2153124,35317,18539,13606,0.6458333333333334,0.7445704527199268,1,1
7244019279299988779,7084,1033960,51423,23733,10053,0.6458333333333334,0.824086015423139,1,1
7244018923249650986,2413,574058,10365,5628,12200,0.6,0.6044720685482026,1,1
7242973486086409518,4312,455382,3208,2495,14790,0.56,0.6804530358314514,1,1
7242970135206645038,2870,677331,2957,5387,15022,0.52,0.5112175869941712,1,1
7242880186566397230,12084,1899741,7021,13260,10007,0.54,0.6702492594718933,1,1
7242785122108345642,9357,1684557,2475,12583,15022,0.46,0.7135758352279663,1,0
7242566835965562155,6750,627057,20001,9602,11911,0.36,0.7429676914215088,1,0
7242501715226840362,3755,762038,6784,4194,8034,0.48,0.7211605942249298,1,0
7242391623815122222,5597,1024998,6682,9350,15000,0.6458333333333334,0.7426984210809072,1,1
7242135996756708651,8666,1197672,5569,12964,4363,0.66,0.9277799057960512,1,1
7242133340957019435,4208,912069,4353,5258,8707,0.62,0.705506089925766,1,1
7241612148017745198,4129,258054,6204,3118,68684,0.64,0.8275569617748261,1,1
7240530428837252394,6237,418231,1545,2620,45034,0.52,0.5126804172992706,1,1
7240331704571940138,6690,438218,5741,3297,9984,0.68,0.8732252871990204,1,1
7237857324235377963,14555,957463,44564,20407,11888,0.7291666666666666,0.874495996783177,1,1
7237855194703252778,6908,389795,2588,3096,1671,0.4285714285714285,0.7010728595208149,1,0
7257564577204915498,1425,101610,101,434,6534,0.74,0.8050549328327179,1,1
7247567239207996715,4943,368980,1337,4026,12934,0.5714285714285714,0.6316022726954246,1,1
7247170060517707050,3751,99239,210,611,25089,0.6,0.6115787065029145,1,1
7244588266505375022,4994,574567,1424,7864,8080,0.52,0.9200001716613768,1,1
7243680414357851434,8287,809339,2194,9731,5300,0.42,0.5778591680526733,1,0
7243072474060016942,6042,634014,4282,4382,6800,0.68,0.8428216564655304,1,1
7238635441640000811,13111,1407003,7547,26722,13734,0.4680851063829787,0.6376744217060982,1,0
7237150667926752554,1634,259663,514,791,14379,0.3673469387755102,0.455307768315685,0,0
7236779655888538926,5823,1243968,4618,3726,11834,0.6530612244897959,0.8521499512146931,1,1
7234553161875426606,2386,268591,1953,1386,15900,0.6938775510204082,0.6729355308474326,1,1
7230845779705859370,4171,298078,1065,5384,5038,0.4583333333333333,0.434064536044995,0,0
7219761677313576238,18716,1292725,7967,14083,7847,0.6808510638297872,0.714452493698039,1,1
7217860066580499754,9334,872719,1553,2976,9844,0.4081632653061224,0.7032410113178954,1,0
7217489327079574826,4938,558690,2583,2882,65200,0.64,0.7260966444015503,1,1
7212291847513836842,3964,526679,7272,4485,6134,0.4444444444444444,0.602109142144521,1,0
7209692737522715946,2822,199119,2277,1476,9934,0.68,0.6964684510231018,1,1
7207161717913095470,6351,1581904,3019,3281,22453,0.7209302325581395,0.7449837368588115,1,1
7205259427727838510,5492,655767,3156,2291,17739,0.4680851063829787,0.7407279331633385,1,0
7199688657119300907,6781,801729,6517,5591,5867,0.5853658536585366,0.4962937512048861,0,1
7198949091681013038,2425,469374,7038,2763,9287,0.5714285714285714,0.6326191218531861,1,1
7198218012602830126,19825,827582,4579,2714,8634,0.86,0.8078376471996307,1,1
7195964071286607146,2368,215895,1558,1125,20293,0.6326530612244898,0.7446927282274985,1,1
7192087508170149163,9803,1395265,10103,11074,10982,0.5625,0.7085651320715746,1,1
7191527277124160814,19860,2634636,15004,10204,7406,0.5957446808510638,0.9052081260275332,1,1
7189298302129638698,4514,543825,6727,3735,10734,0.5306122448979592,0.6419523261031326,1,1
7187813895040453930,11995,2185808,14933,7640,16207,0.68,0.7038898241519927,1,1
7186346217268432174,4216,467284,1508,1801,7900,0.6,0.5889727640151977,1,1
7186336282006834478,2024,197251,741,891,7400,0.673469387755102,0.7160437192235675,1,1
7184501756729232686,8295,1208254,10025,16764,7940,0.7209302325581395,0.6989153970119565,1,1
7256046227077352746,433,12873,34,127,25053,0.6,0.7827166032791137,1,1
7255082432049745194,11486,1291053,19687,20107,16234,0.3469387755102041,0.4289905063960017,0,0
7250890233409998122,1605,109893,1564,835,65834,0.72,0.8623346769809723,1,1
7246097173698432302,13974,2110090,38160,11050,15022,0.92,0.9746447002887726,1,1
7245711277056675118,5214,318534,12791,4503,76011,0.66,0.8399438488483429,1,1
7244237689405345067,288,21397,148,117,53505,0.5102040816326531,0.7181181141308376,1,1
7226446157776424234,1457,45297,245,412,26307,0.4081632653061224,0.6727186404928869,1,0
7225616610424393003,839,64046,446,427,36704,0.7,0.8474802267551422,1,1
7224945156812721450,2634,218339,5708,2086,49086,0.62,0.8122633230686188,1,1
7223530839202745646,507,129940,404,775,87546,0.5510204081632653,0.7429056325737311,1,1
7223125829859937578,8872,1899391,5931,41647,34109,0.72,0.773172196149826,1,1
7220158822864686378,1800,271969,800,854,6477,0.5416666666666666,0.7163990139961243,1,1
7218272719073234222,3331,305685,4879,22033,20620,0.35,0.4171555370092392,0,0
7214544085573569838,1468,188433,604,6406,19782,0.5102040816326531,0.6940230191970358,1,1
7212470206218849582,4667,1234094,4075,17255,17167,0.4523809523809524,0.5260980909778958,1,0
7212432183221308714,544,49589,188,225,18667,0.5918367346938775,0.6667277545345073,1,1
7208621428294438187,4205,148861,1310,4393,74280,0.625,0.8918890332182249,1,1
7202406586424298795,9567,251613,1680,21712,40300,0.36,0.5734800243377686,1,0
7199358034525556011,1139,75512,327,692,10448,0.56,0.7009617638587952,1,1
7197916600270523694,17099,2883864,30095,214185,19567,0.3877551020408163,0.5581458940797922,1,0
7187498878931914027,1219,68191,184,440,9148,0.3333333333333333,0.6263522853453954,1,0
7183027161987583278,991,39771,391,457,23358,0.875,0.9589270142217478,1,1
7180789353969487147,10401,616004,4603,53942,30417,0.5217391304347826,0.6711297501688418,1,1
7180129644803263787,1389,232772,587,1720,91175,0.6956521739130435,0.866958156875942,1,1
7177454624310365486,2883,1166794,7293,8638,66767,0.5434782608695652,0.7932683035083439,1,1
7176788499901910318,2858,1107964,7600,3607,21269,0.6,0.7126810815599229,1,1
7174827362037599530,4186,110100,1462,9077,67569,0.5714285714285714,0.6751236733125181,1,1
7173324242338073898,12426,2233013,14686,28491,29258,0.6666666666666666,0.6293982042206658,1,1
7172355542864792878,2371,491466,39565,10338,14349,0.6530612244897959,0.7528076415159264,1,1
7170403281628581166,1458,264526,419,872,22667,0.6153846153846154,0.7471295564602582,1,1
7168198150447009070,33464,2311416,16112,45665,26646,0.5319148936170213,0.6741489336845723,1,1
7167394312773307690,1351,109444,275,179,29535,0.5714285714285714,0.7722868692307245,1,1
7168859255779560750,18668,9139192,209607,44561,8358,0.6170212765957447,0.7150234402494228,1,1
6974037602315848966,58801,18753260,318149,102508,14115,0.5918367346938775,0.6729228533044154,1,1
7256826327678962986,690,89416,355,415,19690,0.54,0.8404262673854828,1,1
7255683841828867370,2083,553252,2697,2387,18310,0.38,0.3329641497135162,0,0
7253459540002426158,2049,443059,2579,1358,10845,0.6666666666666666,0.7242246692379316,1,1
7252447315934383406,1499,326445,1751,1677,15789,0.66,0.6021412646770478,1,1
7250224079934868779,75236,4143178,90490,196227,12380,0.4285714285714285,0.3269458826707334,0,0
7249451168999623982,65684,5326168,35899,543038,7174,0.38,0.4176008284091949,0,0
7247519176984661294,2113,587584,2382,2942,18886,0.5714285714285714,0.7959376610055262,1,1
7246923326772350251,2222,2255455,10109,6211,12700,0.625,0.6765661699076494,1,1
7244971130509888810,3303,1919550,22075,12976,13095,0.6,0.8781984341144562,1,1
7243079712178834731,2685,529115,4430,4111,16854,0.5918367346938775,0.8908187029313068,1,1
7242307016453082410,1743,577592,1726,1626,12722,0.58,0.6495013582706451,1,1
7240120050647092526,9663,4514517,41302,24529,16485,0.54,0.4215665757656097,0,1
7238982811934313771,3747,586409,6795,3524,19770,0.44,0.5598858022689819,1,0
7237570622094658862,19137,7476237,36536,55014,25030,0.52,0.5602103626728058,1,1
7236387946406874414,885,748888,4219,1610,11029,0.54,0.6684304261207581,1,1
7234163777430687022,3782,676160,2707,4470,23173,0.4285714285714285,0.4141487211597209,0,0
7233046161706241322,2347,753657,4540,3121,16903,0.56,0.6720135986804963,1,1
7230801411171306794,14977,3527543,22764,47297,14256,0.6875,0.5673041219512621,1,1
7228980937189559598,3821,2750942,10059,8238,29999,0.44,0.5377056920528411,1,0
7228276475680640299,4625,2405689,13125,9261,15766,0.62,0.6902419483661651,1,1
7227146522977111338,2145,325321,2290,1505,34713,0.4693877551020408,0.720594410993615,1,0
7226754712283041070,19073,7237679,40399,99738,19829,0.7,0.7199328994750976,1,1
7223843384174136618,4896,936514,6076,5260,17000,0.3061224489795918,0.3160795082851332,0,0
7221922451012324650,24666,12525487,93976,149978,15975,0.52,0.6289134120941162,1,1
7219102627735342382,3234,1154276,5613,6417,25693,0.5102040816326531,0.597827612137308,1,1
7218568693398162734,3945,1502901,8803,6626,16475,0.7346938775510204,0.6020814472315262,1,1
7215632110630047018,4205,1592687,20740,6568,15278,0.52,0.7944817018508911,1,1
7213761915842202926,29477,9643855,57521,183003,18352,0.36,0.4262498295307159,0,0
7211895879031098667,2711,993906,6434,3386,18900,0.25,0.5446880695720514,1,0
7210172120469441838,3281,2519097,4445,5287,27945,0.3673469387755102,0.3880417857851301,0,0
7257273804513152299,780,210192,441,11825,60567,0.5238095238095238,0.6228063092345283,1,1
7255463631679130922,1602,160404,267,31694,5107,0.82,0.8346821820735931,1,1
7253164573749071150,658,201642,206,40680,42467,0.4489795918367347,0.5863662787846157,1,0
7252383358477536555,1194,235913,7262,14555,7334,0.4,0.491924546957016,0,0
7252024852524174634,2171,2383078,1535,33679,40334,0.5833333333333334,0.6651326281328996,1,1
7250933030615911722,3245,426241,1190,14242,38900,0.34,0.44461097240448,0,0
7249372623165984043,583,214313,242,11809,49167,0.7959183673469388,0.9141208480815498,1,1
7246229097217609002,1028,260919,235,10340,46137,0.8421052631578947,0.8677214133112054,1,1
7245388982467677486,755,159470,67,10416,29001,0.72,0.882244998216629,1,1
7244957547420077354,842,195064,157,10372,47034,0.86,0.8595359230041504,1,1
7243114033279372590,1022,284354,1116,10803,35267,0.7142857142857143,0.8810643614554892,1,1
7241990079441358122,3253,1491499,4968,17815,70867,0.5,0.4943832957744598,0,1
7240391691105062190,2947,535650,2713,4314,44467,0.38,0.4520533013343811,0,0
7239857655781608747,3031,619331,2194,7806,59477,0.4705882352941176,0.4321537964484271,0,0
7237906470321360170,575,147553,589,435,29976,0.5918367346938775,0.7601553165182775,1,1
7237238437294738731,3662,373975,233,1657,30046,0.3673469387755102,0.4113562982909533,0,0
7234197847149727018,1783,243923,287,915,50735,0.6,0.6005800831317901,1,1
7233840043469622570,380,118723,254,234,45867,0.5714285714285714,0.6848771024723442,1,1
7230148933358538027,1101,204462,11137,1238,10285,0.5,0.596011061668396,1,1
7245417038578191662,1835,263175,800,1849,17366,0.1836734693877551,0.8626529160810976,1,0
7237596990064823594,595,55322,194,261,39218,0.24,0.7951079154014588,1,0
7235751142892981550,465,75166,258,313,24800,0.18,0.8802314758300781,1,0
7223898077189377326,6217,709913,2226,9330,43515,0.24,0.7318623518943786,1,0
7209842752962530602,2069,296978,2685,1854,22315,0.38,0.7668059098720551,1,0
7207984268969086251,1279,191434,486,622,11748,0.3125,0.5645567663013935,1,0
7207958834923572522,386,82718,191,245,29822,0.4418604651162791,0.5259200417718222,1,0
7197941247292525866,291,31275,73,160,42567,0.6595744680851063,0.6617961437144178,1,1
7166782480530378030,5870,1590192,5530,4780,12300,0.1914893617021276,0.3669759149247028,0,0
7161596617399749931,851,499700,1837,741,19318,0.65,0.6267866656184197,1,1
7160455061695450410,2301,677117,13695,3720,16276,0.5869565217391305,0.7590505234573198,1,1
7154513262799752490,229,62335,294,119,20478,0.6595744680851063,0.8097325652203662,1,1
7150734267197295915,391,108651,384,310,9216,0.4565217391304347,0.6498716136683589,1,0
7142643330214563114,509,133467,333,189,5896,0.4772727272727273,0.7134380625052885,1,0
7136224601209654570,692,95222,450,320,20535,0.5,0.7325644289905374,1,1
7136220909853216046,3454,927091,352,413,11004,0.25,0.3085139108200868,0,0
7133659877301308718,573,95159,700,378,32012,0.5777777777777777,0.6510414481163025,1,1
7130738078523608366,2101,454299,1253,543,8916,0.46,0.6985175216197967,1,0
7128204071537921326,5239,1688915,8735,3707,22405,0.4489795918367347,0.6101467135001202,1,0
7128174322069310766,1048,167236,504,1010,64566,0.6046511627906976,0.6861451074134471,1,1
7122550050147863851,353,69782,197,167,19191,0.4210526315789473,0.5414804831931466,1,0
7121064830223600939,565,367520,467,405,8659,0.4883720930232558,0.7083652407624,1,0
7112572783623785770,5299,772454,501,1069,9262,0.4666666666666667,0.5799758050176832,1,0
